GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,stop_count,route_count,transit_score,is_transit_desert,crash_count,total_fatalities,total_jobs,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049002600,34080.0,1724.0,321.0,10.0,0.0,37.0,33.0,33.0,1951.0,134.0,1951.0,182.0,4835.0,4835.0,849.0,350.0,1085.0,36.0,120.0,197.0,365.0,4929.0,1274.0,3004.0,1804.0,335.0,0.0933,0.0687,0.1092,16.38,21.0,2.0,0.0268,False,2.0,2.0,1122,0.3820422535211267,0.277300469483568,0.6593427230046949,True,932.0,992.0,557.0,316.0
39049002710,42193.0,1175.0,162.0,0.0,0.0,35.0,18.0,17.0,1303.0,104.0,1303.0,54.0,2305.0,2305.0,186.0,206.0,1010.0,137.0,68.0,98.0,245.0,2305.0,487.0,1492.0,1250.0,173.0,0.0414,0.0798,0.0784,20.29,10.0,2.0,0.0128,False,0.0,0.0,958,0.2872514398122911,0.2218756665797644,0.5091271063920555,True,243.0,306.0,253.0,239.0
39049002730,27730.0,741.0,70.0,0.0,45.0,19.0,56.0,37.0,888.0,120.0,888.0,105.0,2369.0,2369.0,338.0,109.0,1059.0,128.0,88.0,61.0,444.0,2374.0,460.0,1372.0,1063.0,206.0,0.1182,0.1351,0.0574,13.33,11.0,2.0,0.014,False,0.0,0.0,859,0.458276235124414,0.321644428416877,0.7799206635412911,True,396.0,261.0,338.0,220.0
39049002740,97788.0,926.0,108.0,0.0,19.0,7.0,22.0,17.0,1103.0,36.0,1104.0,8.0,2485.0,2485.0,77.0,262.0,1361.0,47.0,37.0,0.0,102.0,2485.0,407.0,1917.0,1107.0,36.0,0.0072,0.0326,0.0,47.01,10.0,2.0,0.0128,False,1.0,1.0,1230,0.1670143575898883,0.099595042336483,0.2666093999263713,False,447.0,306.0,709.0,35.0
39049002750,36447.0,926.0,116.0,0.0,24.0,28.0,29.0,0.0,1146.0,89.0,1146.0,74.0,2997.0,2997.0,416.0,190.0,1121.0,31.0,19.0,74.0,275.0,3020.0,1253.0,1401.0,1021.0,145.0,0.0646,0.0777,0.0725,17.52,5.0,3.0,0.0096,False,0.0,0.0,953,0.3690838752160671,0.2573161028342525,0.6263999780503197,True,473.0,809.0,200.0,357.0
39049002760,63852.0,1641.0,163.0,58.0,21.0,74.0,0.0,16.0,1918.0,74.0,1920.0,98.0,3310.0,3310.0,200.0,198.0,1013.0,35.0,42.0,107.0,160.0,3310.0,487.0,2686.0,1737.0,303.0,0.051,0.0386,0.0616,30.7,14.0,3.0,0.0268,False,0.0,0.0,1660,0.1903777485435068,0.1517759819582785,0.3421537305017854,False,647.0,317.0,384.0,99.0
39049002770,37458.0,815.0,48.0,0.0,9.0,0.0,34.0,29.0,958.0,130.0,958.0,131.0,2189.0,2189.0,262.0,180.0,1067.0,35.0,69.0,33.0,192.0,2189.0,588.0,1412.0,934.0,163.0,0.1367,0.1357,0.0353,18.01,7.0,3.0,0.0134,False,0.0,0.0,935,0.3418228415825725,0.2379838752736398,0.5798067168562122,True,298.0,456.0,271.0,197.0
39049002780,88438.0,827.0,60.0,0.0,0.0,43.0,0.0,0.0,1229.0,0.0,1230.0,16.0,2420.0,2420.0,72.0,66.0,977.0,21.0,27.0,9.0,154.0,2569.0,338.0,2201.0,1162.0,159.0,0.013,0.0,0.0077,42.52,7.0,1.0,0.0045,False,0.0,0.0,1078,0.1325674483819172,0.1130735656618195,0.2456410140437368,False,357.0,114.0,922.0,35.0
39049002800,47637.0,1216.0,40.0,19.0,0.0,40.0,191.0,0.0,1373.0,34.0,1373.0,185.0,2765.0,2765.0,413.0,87.0,1048.0,50.0,76.0,54.0,135.0,2765.0,806.0,1802.0,1340.0,304.0,0.1347,0.0248,0.0403,22.9,25.0,4.0,0.0638,False,0.0,0.0,1064,0.2639964733295548,0.2057560299766987,0.4697525033062535,True,482.0,562.0,384.0,221.0
39049002900,23750.0,541.0,0.0,3.0,3.0,24.0,0.0,0.0,758.0,248.0,758.0,59.0,2576.0,2576.0,476.0,376.0,951.0,109.0,3.0,41.0,339.0,2576.0,1040.0,1421.0,1047.0,502.0,0.0778,0.3272,0.0392,11.42,8.0,2.0,0.0102,False,1.0,1.0,873,0.4805052631578947,0.3108378947368421,0.7913431578947369,True,397.0,956.0,253.0,295.0
