GEOID,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold
39049000110,0.15491130030379177,0.07501031391816375,0.2299216142219555,False
39049000120,0.14536431054241686,0.09354536241629807,0.23890967295871493,False
39049000210,0.10434288599924252,0.07548920590834492,0.17983209190758742,False
39049000220,0.15759759373341267,0.0798314326615303,0.23742902639494295,False
39049000310,0.22395944767202647,0.16457925313934926,0.38853870081137576,False
39049000320,0.33952315451627696,0.18982118294360384,0.5293443374598807,True
39049000330,0.3056014062466505,0.20977084181868852,0.515372248065339,True
39049000410,0.17965529761014887,0.1023001516348803,0.28195544924502913,False
39049000420,0.1610314432311538,0.10803841599789502,0.2690698592290488,False
39049000500,0.16911236531554644,0.11094464397696824,0.28005700929251465,False
39049000600,0.23869260700389106,0.15196887159533073,0.3906614785992218,False
39049000710,0.26953706829781743,0.1838698786566838,0.45340694695450123,True
39049000720,0.31918144358535117,0.2144173341358396,0.5335987777211908,True
39049000730,0.35594389514830993,0.18983674407909865,0.5457806392274086,True
39049000810,0.18889685483619587,0.15585549078894048,0.34475234562513635,False
39049000820,0.19314934095465597,0.13836681880874177,0.33151615976339777,False
39049000910,0.36689691124723056,0.257818323993223,0.6247152352404536,True
39049000920,0.45899645210339585,0.3260550768710931,0.7850515289744889,True
39049001000,0.433793400905758,0.25790381712314,0.691697218028898,True
39049001110,0.6122153375714171,0.3729299106783616,0.9851452482497787,True
39049001121,,,,False
39049001122,0.35428862305930264,0.21314699553437147,0.5674356185936741,True
39049001200,0.4603863298662704,0.2701931649331352,0.7305794947994056,True
39049001301,0.29001314318221944,0.19155305333777978,0.4815661965199992,True
39049001302,0.4301699837703938,0.21983428717861112,0.6500042709490049,True
39049001400,0.38110559454136966,0.2650764152775081,0.6461820098188777,True
39049001500,0.3179744759366511,0.2460150684229409,0.563989544359592,True
39049001600,0.36243454715591217,0.16910426662950206,0.5315388137854142,True
39049001700,0.5392381669461652,0.3227488962661282,0.8619870632122935,True
39049001810,0.5735256464965435,0.3447981565247077,0.9183238030212512,True
39049001820,0.21437707150028193,0.12590870958425593,0.3402857810845379,False
39049001901,0.3023150249659555,0.15130882130428203,0.45362384627023755,True
39049001902,0.23538119911176905,0.15947782787161024,0.39485902698337927,False
39049002000,0.1401687853511996,0.0811413884273167,0.2213101737785163,False
39049002100,0.22140535429348146,0.11562437208202825,0.3370297263755097,False
39049002200,0.201398907902186,0.08858776046898113,0.28998666837116716,False
39049002300,0.29329046175135837,0.19905980992694194,0.4923502716783003,True
39049002510,0.3206411051093598,0.219109182679536,0.5397502877888958,True
39049002520,0.17295093900131023,0.13641578104527588,0.3093667200465861,False
39049002600,0.38204225352112675,0.27730046948356807,0.6593427230046949,True
39049002710,0.2872514398122911,0.22187566657976443,0.5091271063920555,True
39049002730,0.458276235124414,0.32164442841687707,0.7799206635412911,True
39049002740,0.16701435758988833,0.09959504233648302,0.26660939992637134,False
39049002750,0.36908387521606717,0.2573161028342525,0.6263999780503197,True
39049002760,0.19037774854350686,0.15177598195827854,0.34215373050178544,False
39049002770,0.3418228415825725,0.2379838752736398,0.5798067168562122,True
39049002780,0.13256744838191728,0.11307356566181959,0.24564101404373687,False
39049002800,0.2639964733295548,0.20575602997669878,0.46975250330625357,True
39049002900,0.4805052631578947,0.31083789473684215,0.7913431578947369,True
39049003000,0.24860135775386494,0.1227949480133439,0.37139630576720883,False
39049003200,0.22082130965593785,0.10986903440621533,0.3306903440621532,False
39049003600,0.21951803383338653,0.19120651133099265,0.4107245451643792,False
39049003700,0.16463218760038548,0.13099903629938967,0.29563122389977514,False
39049003800,0.1789361875970259,0.12966200942342784,0.30859819702045377,False
39049004001,0.31359623307828133,0.27613890523837553,0.5897351383166569,True
39049004002,0.2664048533161396,0.11977374637320128,0.3861785996893409,False
39049004200,0.31496994185473537,0.16326664695640747,0.47823658881114284,True
39049004301,0.2560083868431398,0.12927270344646835,0.38528109028960816,False
39049004302,0.20011510791366907,0.1330071942446043,0.3331223021582734,False
39049004500,0.23157975992898222,0.18941680497124552,0.42099656490022774,False
39049004610,0.11858978012333155,0.1135197364671553,0.23210951659048684,False
39049004620,0.25977653631284914,0.16573102602534404,0.4255075623381932,False
39049004700,0.2958787472653093,0.18992057078660543,0.4857993180519148,True
39049004810,0.2839986520020833,0.14403970466591098,0.4280383566679943,False
39049004820,0.33247847591133906,0.22722110276607438,0.5596995786774135,True
39049004900,0.323943661971831,0.20756807511737088,0.5315117370892019,True
39049005001,0.20490451619767008,0.17039204212990053,0.3752965583275706,False
39049005002,0.5405002561833341,0.3729284084028133,0.9134286645861474,True
39049005100,0.30797216070863653,0.3503321733628599,0.6583043340714965,True
39049005200,0.16870048399289228,0.09470160316509753,0.2634020871579898,False
39049005300,0.23453181037340648,0.13933275067056447,0.3738645610439709,False
39049005410,0.2853976852991874,0.17613067388984652,0.4615283591890339,True
39049005420,0.2624523775927755,0.1914652583200629,0.4539176359128384,True
39049005500,0.22086928900418232,0.1666437256251434,0.38751301462932575,False
39049005610,0.20379654142961753,0.13967216808426744,0.343468709513885,False
39049005620,0.2958558427903267,0.17472898009499294,0.4705848228853196,True
39049005700,0.16343718436795898,0.07680522103954628,0.24024240540750524,False
39049005810,0.20224580199855774,0.10247450293602556,0.3047203049345833,False
39049005820,0.1500591665511764,0.10502009530612028,0.2550792618572967,False
39049005900,0.2903589975163694,0.16715586663656204,0.4575148641529314,True
39049006000,0.3114573528528228,0.190879778903731,0.5023371317565538,True
39049006100,0.24388238448476182,0.16935204218428812,0.41323442666904997,False
39049006236,,0.04793725971448568,,False
