GEOID,crash_count,total_fatalities
39049004610,0.0,0.0
39049004700,0.0,0.0
39049009311,0.0,0.0
39049009312,0.0,0.0
39049009321,0.0,0.0
39049009322,2.0,2.0
39049005100,3.0,3.0
39049007532,0.0,0.0
39049004820,2.0,2.0
39049004900,0.0,0.0
39049980000,3.0,3.0
39049007424,2.0,2.0
39049009325,2.0,2.0
39049009326,1.0,1.0
39049005200,0.0,0.0
39049005300,1.0,1.0
39049005410,0.0,0.0
39049005420,0.0,0.0
39049005500,1.0,1.0
39049005610,0.0,0.0
39049005700,1.0,1.0
39049005810,0.0,0.0
39049007427,0.0,0.0
39049007511,0.0,0.0
39049007512,0.0,0.0
39049007531,0.0,0.0
39049009340,0.0,0.0
39049009332,0.0,0.0
39049009334,0.0,0.0
39049009337,1.0,3.0
39049005820,0.0,0.0
39049006000,0.0,0.0
39049006100,0.0,0.0
39049009372,0.0,0.0
39049009350,0.0,0.0
39049006310,0.0,0.0
39049006321,0.0,0.0
39049007534,0.0,0.0
39049007710,1.0,1.0
39049007721,0.0,0.0
39049007722,0.0,0.0
39049007730,1.0,1.0
39049007740,0.0,0.0
39049007811,0.0,0.0
39049007830,0.0,0.0
39049006372,0.0,0.0
39049009381,0.0,0.0
39049009382,0.0,0.0
39049009383,0.0,0.0
39049009384,1.0,1.0
39049009385,0.0,0.0
39049006323,0.0,0.0
39049006330,0.0,0.0
39049006340,0.0,0.0
39049006351,0.0,0.0
39049006352,0.0,0.0
39049006353,0.0,0.0
39049007922,0.0,0.0
39049007931,1.0,1.0
39049009386,0.0,0.0
39049009410,0.0,0.0
39049009520,0.0,0.0
39049009590,1.0,1.0
39049009600,1.0,1.0
39049009711,0.0,0.0
39049006384,0.0,0.0
39049006386,1.0,2.0
39049006387,0.0,0.0
39049007941,0.0,0.0
39049009712,0.0,0.0
39049009751,0.0,0.0
39049009752,0.0,0.0
39049006410,0.0,0.0
39049010100,1.0,1.0
39049001121,1.0,1.0
39049001122,1.0,2.0
39049008163,0.0,0.0
39049008164,0.0,0.0
39049007041,0.0,0.0
39049007199,0.0,0.0
39049007209,1.0,1.0
39049007394,0.0,0.0
39049010602,0.0,0.0
39049009497,0.0,0.0
