GEOID,affected_workers_estimate,lost_wages_annual,transit_dependent_population_estimate,healthcare_annual,forced_drive_commuters_estimate,environment_annual,education_annual,ht_burdened_households_estimate,forgone_affordability_annual,cost_of_inaction_annual,annual_cost_year_1,annual_cost_year_2,annual_cost_year_3,annual_cost_year_4,annual_cost_year_5,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049001302,259.0,29986.28,566.5996649916248,74319.09,255.68,95431.8,2563.23,131.0,1216767.04,1419067.44,1462380.88,1507036.66,1553077.18,1600546.21,1649488.97,1462380.88,4522494.72,7772529.9,0.0,63.84
39049001400,30.0,4440.54,216.19160583941607,24564.12,28.47,10544.95,21981.43,79.0,768019.81,829550.85,854379.65,879964.6,906329.08,933497.19,961493.78,854379.65,2640673.33,4535664.3,18.72,55.12
39049001500,37.0,15401.1,295.51,34068.73,36.57,13653.2,24009.3,116.0,690896.68,778029.01,801457.48,825607.61,850502.06,876164.25,902618.31,801457.48,2477567.15,4256349.71,0.0,45.13
39049001600,280.0,110647.76,552.9493087557604,72682.0,273.56,101896.63,16288.25,260.0,1458799.29,1760313.93,1813964.15,1869276.03,1926301.97,1985096.03,2045713.99,1813964.15,5609542.15,9640352.17,0.0,56.28
39049001700,152.0,9638.04,801.3088235294117,98499.4,143.18,52957.16,2518.84,369.0,5677277.58,5840891.02,6017333.31,6199129.87,6386444.22,6579444.91,6778305.66,6017333.31,18602907.4,31960657.97,0.0,61.36
39049001810,349.0,25935.39,808.3013302486987,109729.93,342.33,127612.25,0.0,409.0,5940282.45,6203560.02,6390804.39,6583728.74,6782506.57,6987316.72,7198343.55,6390804.39,19757039.7,33942699.97,0.0,57.69
39049001820,184.0,31807.87,292.4905944319037,29681.7,167.57,61585.61,3975.41,172.0,0.0,127050.59,131086.89,135261.32,139578.92,144044.92,148664.76,131086.89,405927.13,698636.81,0.0,46.14
39049001901,55.0,26030.81,416.51548946716235,41191.12,50.93,18776.2,970.24,299.0,89606.22,176574.59,182508.5,188650.24,195007.37,201587.79,208399.65,182508.5,566166.11,976153.55,0.0,47.87
39049001902,236.0,222371.46,373.7836112096488,33471.01,226.06,83880.51,3372.54,530.0,0.0,343095.52,354522.2,366341.97,378568.74,391216.91,404301.41,354522.2,1099432.91,1894951.23,0.0,57.02
39049002000,31.0,44799.75,145.2902097902098,11121.22,30.88,11546.67,2996.62,144.0,0.0,70464.26,72857.33,75335.45,77901.74,80559.44,83311.89,72857.33,226094.52,389965.85,0.0,34.66
