AREA_TITLE,OCC_CODE,OCC_TITLE,H_MEAN,H_MEDIAN,A_MEAN,A_MEDIAN
"Cincinnati, OH-KY-IN",47-2044,Tile and Stone Setters,24.78,22.89,51550.0,47600.0
"Cincinnati, OH-KY-IN",47-2051,Cement Masons and Concrete Finishers,29.91,30.12,62220.0,62650.0
"Cincinnati, OH-KY-IN",47-2061,Construction Laborers,26.28,23.7,54660.0,49300.0
"Cincinnati, OH-KY-IN",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",30.94,30.49,64350.0,63410.0
"Cincinnati, OH-KY-IN",47-2073,Operating Engineers and Other Construction Equipment Operators,33.65,31.32,69990.0,65140.0
"Cincinnati, OH-KY-IN",47-2081,Drywall and Ceiling Tile Installers,27.13,26.82,56430.0,55790.0
"Cincinnati, OH-KY-IN",47-2111,Electricians,30.46,29.84,63350.0,62060.0
"Cincinnati, OH-KY-IN",47-2121,Glaziers,28.12,29.2,58500.0,60740.0
"Cincinnati, OH-KY-IN",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",28.64,27.23,59560.0,56640.0
"Cincinnati, OH-KY-IN",47-2132,"Insulation Workers, Mechanical",33.08,35.62,68800.0,74080.0
"Cincinnati, OH-KY-IN",47-2141,"Painters, Construction and Maintenance",26.76,26.24,55660.0,54580.0
"Cincinnati, OH-KY-IN",47-2151,Pipelayers,30.17,28.17,62750.0,58590.0
"Cincinnati, OH-KY-IN",47-2152,"Plumbers, Pipefitters, and Steamfitters",32.13,30.0,66830.0,62400.0
"Cincinnati, OH-KY-IN",47-2161,Plasterers and Stucco Masons,27.09,24.64,56360.0,51250.0
"Cincinnati, OH-KY-IN",47-2181,Roofers,27.47,26.52,57140.0,55170.0
"Cincinnati, OH-KY-IN",47-2211,Sheet Metal Workers,29.98,29.42,62350.0,61180.0
"Cincinnati, OH-KY-IN",47-2221,Structural Iron and Steel Workers,33.81,34.84,70330.0,72470.0
"Cincinnati, OH-KY-IN",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",24.51,23.94,50980.0,49800.0
"Cincinnati, OH-KY-IN",47-3012,Helpers--Carpenters,21.33,21.31,44370.0,44330.0
"Cincinnati, OH-KY-IN",47-3013,Helpers--Electricians,20.85,20.59,43370.0,42830.0
"Cincinnati, OH-KY-IN",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",21.09,18.85,43870.0,39220.0
"Cincinnati, OH-KY-IN",47-3019,"Helpers, Construction Trades, All Other",23.69,26.27,49280.0,54650.0
"Cincinnati, OH-KY-IN",47-4011,Construction and Building Inspectors,35.08,34.63,72970.0,72030.0
"Cincinnati, OH-KY-IN",47-4021,Elevator and Escalator Installers and Repairers,40.25,37.36,83710.0,77720.0
"Cincinnati, OH-KY-IN",47-4041,Hazardous Materials Removal Workers,25.78,23.99,53610.0,49900.0
"Cincinnati, OH-KY-IN",47-4051,Highway Maintenance Workers,24.22,22.93,50380.0,47700.0
"Cincinnati, OH-KY-IN",47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,29.53,30.13,61420.0,62670.0
"Cincinnati, OH-KY-IN",47-4090,Miscellaneous Construction and Related Workers,30.3,23.52,63010.0,48930.0
"Cincinnati, OH-KY-IN",47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",30.51,28.04,63450.0,58320.0
"Cincinnati, OH-KY-IN",47-5023,"Earth Drillers, Except Oil and Gas",30.57,29.62,63590.0,61610.0
"Cincinnati, OH-KY-IN",49-0000,"Installation, Maintenance, and Repair Occupations",29.63,28.87,61630.0,60040.0
"Cincinnati, OH-KY-IN",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",39.11,37.89,81350.0,78820.0
"Cincinnati, OH-KY-IN",49-2011,"Computer, Automated Teller, and Office Machine Repairers",23.62,23.15,49130.0,48150.0
"Cincinnati, OH-KY-IN",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",28.8,27.15,59890.0,56470.0
"Cincinnati, OH-KY-IN",49-2092,"Electric Motor, Power Tool, and Related Repairers",23.65,23.9,49190.0,49710.0
"Cincinnati, OH-KY-IN",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",32.8,31.38,68230.0,65280.0
"Cincinnati, OH-KY-IN",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",44.5,50.29,92560.0,104610.0
"Cincinnati, OH-KY-IN",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",26.31,27.86,54730.0,57950.0
"Cincinnati, OH-KY-IN",49-2097,Audiovisual Equipment Installers and Repairers,26.34,22.79,54790.0,47410.0
"Cincinnati, OH-KY-IN",49-2098,Security and Fire Alarm Systems Installers,28.78,29.08,59870.0,60490.0
"Cincinnati, OH-KY-IN",49-3011,Aircraft Mechanics and Service Technicians,37.98,37.86,78990.0,78740.0
"Cincinnati, OH-KY-IN",49-3021,Automotive Body and Related Repairers,27.77,23.58,57760.0,49040.0
"Cincinnati, OH-KY-IN",49-3022,Automotive Glass Installers and Repairers,26.22,24.75,54540.0,51480.0
"Cincinnati, OH-KY-IN",49-3023,Automotive Service Technicians and Mechanics,24.64,22.55,51240.0,46900.0
"Cincinnati, OH-KY-IN",49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,29.79,29.66,61950.0,61680.0
"Cincinnati, OH-KY-IN",49-3041,Farm Equipment Mechanics and Service Technicians,26.38,24.97,54870.0,51940.0
"Cincinnati, OH-KY-IN",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",31.78,30.75,66100.0,63960.0
"Cincinnati, OH-KY-IN",49-3051,Motorboat Mechanics and Service Technicians,25.46,24.66,52950.0,51290.0
"Cincinnati, OH-KY-IN",49-3052,Motorcycle Mechanics,22.82,22.4,47470.0,46600.0
"Cincinnati, OH-KY-IN",49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,23.89,22.76,49690.0,47340.0
"Cincinnati, OH-KY-IN",49-3093,Tire Repairers and Changers,19.56,18.72,40690.0,38940.0
"Cincinnati, OH-KY-IN",49-9011,Mechanical Door Repairers,25.4,23.6,52820.0,49090.0
"Cincinnati, OH-KY-IN",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",31.31,28.83,65130.0,59970.0
"Cincinnati, OH-KY-IN",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",30.23,29.3,62870.0,60940.0
"Cincinnati, OH-KY-IN",49-9031,Home Appliance Repairers,28.05,24.7,58340.0,51370.0
"Cincinnati, OH-KY-IN",49-9041,Industrial Machinery Mechanics,32.76,31.83,68130.0,66210.0
"Cincinnati, OH-KY-IN",49-9043,"Maintenance Workers, Machinery",31.24,30.98,64980.0,64450.0
"Cincinnati, OH-KY-IN",49-9044,Millwrights,35.63,36.88,74110.0,76700.0
"Cincinnati, OH-KY-IN",49-9051,Electrical Power-Line Installers and Repairers,41.76,40.52,86870.0,84290.0
